Candidate effector gene	T2D GWAS locus	T2D GWAS index SNV	eQTL index SNV	eQTL tissue	πCOLOC
PCGF3	CTBP1-PCGF3-MAEA	rs73221123	rs1531583	Skeletal muscle	0.925
PLA2G4B	LTK	rs1473781	rs13380315	Skeletal muscle	0.904
PLA2G4B	LTK	rs1473781	rs28432037	Visceral adipose	0.872
PLA2G4B	LTK	rs1473781	rs11635415	Subcutaneous adipose	0.856
PLEKHA1	PLEKHA1	rs2421016	rs4752689	Islet	0.951
PLEKHA1	PLEKHA1	rs2421016	rs7902176	Subcutaneous adipose	0.895
PRC1-AS1	PRC1	rs2890156	rs78029804	Subcutaneous adipose	0.94
PTGFRN	PTGFRN	rs1127215	rs1127215	Islet	0.999
PXK	PXK	rs12629058	rs7615294	Islet	0.858
RBM6	RBM6	rs2624847	rs11925192	Skeletal muscle	0.912
RBM6	RBM6	rs2624847	rs4688755	Subcutaneous adipose	0.855
RBM6	RBM6	rs2624847	rs4688755	Visceral adipose	0.874
RBM6	RBM6	rs2624847	rs7642934	Islet	0.834
RCCD1	PRC1	rs2890156	rs1105291	Subcutaneous adipose	0.975
RCCD1	PRC1	rs2890156	rs8037137	Skeletal muscle	0.969
RCCD1	PRC1	rs2890156	rs77554484	Islet	0.977
RCCD1	PRC1	rs2890156	rs150333865	Visceral adipose	0.959
RNF6	RNF6	rs34584161	rs34584161	Islet	0.999
RP1-239B22.5	KCNJ11-ABCC8	rs5215	rs1002226	Subcutaneous adipose	0.958
RP11-107F6.3	LTK	rs1473781	rs1105881	Subcutaneous adipose	0.85
RP11-282O18.3	MPHOSPH9-ZNF664	rs1790116	rs11057204	Visceral adipose	0.806
RP11-282O18.3	MPHOSPH9-ZNF664	rs1790116	rs9795522	Skeletal muscle	0.8
RP11-395N3.2	IRS1	rs2943648	rs952227	Subcutaneous adipose	0.911
RP11-419C23.1	KCNU1	rs10092900	rs16885613	Subcutaneous adipose	0.933
RP11-463M16.4	GIP-TTLL6	rs35895680	rs9912829	Skeletal muscle	0.832
RP11-53O19.3	MRPS30	rs6884702	rs7711697	Subcutaneous adipose	0.825
RP11-613D13.5	HSD17B12	rs6485462	rs1061810	Subcutaneous adipose	0.872
RP11-817O13.8	PTPN9-SIN3A	rs11636031	rs28610581	Subcutaneous adipose	0.961
RP11-817O13.8	PTPN9-SIN3A	rs11636031	rs8023268	Visceral adipose	0.933
RP11-89K21.1	SIX3-SIX2	rs12712928	rs12712929	Islet	0.997
RP5-1042I8.7	NOTCH2	rs835576	rs1805257	Visceral adipose	0.902
RPL39L	ST6GAL1	rs3887925	rs3887925	Islet	0.874
SETD8	MPHOSPH9-ZNF664	rs1790116	rs10744147	Skeletal muscle	0.822
SIX2	SIX3-SIX2	rs12712928	rs12712929	Islet	0.99
SIX3	SIX3-SIX2	rs12712928	rs12712929	Islet	0.996
SKOR1	MAP2K5	rs4776970	rs12592315	Skeletal muscle	0.915
SLC12A8	SLC12A8	rs9873519	rs9872582	Islet	0.862
SLC22A3	SLC22A3	rs539298	rs622217	Liver	0.824
SMCO4	MTNR1B	rs11020308	rs7943372	Islet	0.988
ST6GAL1	ST6GAL1	rs3887925	rs3887925	Islet	0.999
STARD10	CENTD2	rs77464186	rs11603334	Islet	0.988
STEAP2	STEAP1	rs6978118	rs194505	Subcutaneous adipose	0.918
SYCE2	FARSA-ZNF799	rs3111316	rs2238641	Liver	0.827
TCF7L2	TCF7L2	rs7903146	rs7903146	Islet	0.844
TH	INS-IGF2-KCNQ1	rs10770142	rs4929965	Islet	0.984
TOM1L2	RAI1	rs1108646	rs8066560	Skeletal muscle	0.888
TSPAN8	TSPAN8	rs7313668	rs11178583	Liver	0.936
TUBG2	MLX	rs684214	rs2292749	Skeletal muscle	0.92
UBE2E2	UBE2E2	rs13094957	rs13094957	Islet	0.99
UBE2Z	GIP-TTLL6	rs35895680	rs55771415	Skeletal muscle	0.824
WFS1	WFS1	rs9998835	rs10937719	Subcutaneous adipose	0.938
ZBTB20	ZBTB20	rs1459513	rs10222496	Visceral adipose	0.838
ZNF236	ZNF236	rs12457906	rs9962905	Subcutaneous adipose	0.813
ZNF703	KCNU1	rs10092900	rs7816345	Subcutaneous adipose	0.985
