gene	initial_alias	alias_concordance	ensembl_id	combined_prediction	combined_genetic_evidence	combined_regulatory_evidence	combined_perturbation_evidence
PAX4	PAX4	TRUE	ENSG00000106331	CAUSAL	1C		2P
PDX1	PDX1	TRUE	ENSG00000139515	CAUSAL	1C	3R	2P
PLCB3	PLCB3	TRUE	ENSG00000149782	CAUSAL	1C		
PNPLA3	PNPLA3	TRUE	ENSG00000100344	CAUSAL	1C		3P
POC5	POC5	TRUE	ENSG00000152359	CAUSAL	1C		3P
PPARG	PPARG	TRUE	ENSG00000132170	CAUSAL	1C		2P
QSER1	QSER1	TRUE	ENSG00000060749	CAUSAL	1C	3R	
RREB1	RREB1	TRUE	ENSG00000124782	CAUSAL	1C		3P
SLC16A11	SLC16A11	TRUE	ENSG00000174326	CAUSAL	1C		2P
SLC30A8	SLC30A8	TRUE	ENSG00000164756	CAUSAL	1C		2P
SLC5A1	SLC5A1	TRUE	ENSG00000100170	CAUSAL	1C		3P
TBC1D4	TBC1D4	TRUE	ENSG00000136111	CAUSAL	1C	2R	2P
TM6SF2	TM6SF2	TRUE	ENSG00000213996	CAUSAL	1C		2P
WFS1	WFS1	TRUE	ENSG00000109501	CAUSAL	1C	2R	2P
WSCD2	WSCD2	TRUE	ENSG00000075035	CAUSAL	1C		
ZNF771	ZNF771	TRUE	ENSG00000179965	CAUSAL	1C		
ABCB9	ABCB9	TRUE	ENSG00000150967	STRONG	2C	2R	3P
BCAR1	BCAR1	TRUE	ENSG00000050820	STRONG		2R	2P
C2CD4B	C2CD4B	TRUE	ENSG00000205502	STRONG		2R	2P
CAMK1D	CAMK1D	TRUE	ENSG00000183049	STRONG		2R	2P
CCND2	CCND2	TRUE	ENSG00000118971	STRONG	2C	3R	2P
DGKB	DGKB	TRUE	ENSG00000136267	STRONG		2R	2P
INSR	INSR	TRUE	ENSG00000171105	STRONG	2C		2P
IRS1	IRS1	TRUE	ENSG00000169047	STRONG	2C	3R	2P
IRX3	IRX3	TRUE	ENSG00000177508	STRONG	2C	2R	2P
IRX5	IRX5	TRUE	ENSG00000176842	STRONG		2R	2P
KLF14	KLF14	TRUE	ENSG00000266265	STRONG		2R	2P
KLHL42	KLHL42	TRUE	ENSG00000087448	STRONG		2R	2P
LMNA	LMNA	TRUE	ENSG00000160789	STRONG	2C		2P
SLC2A2	SLC2A2	TRUE	ENSG00000163581	STRONG	2C	2R	2P
STARD10	STARD10	TRUE	ENSG00000214530	STRONG		2R	2P
TCF7L2	TCF7L2	TRUE	ENSG00000148737	STRONG		2R	2P
ZMIZ1	ZMIZ1	TRUE	ENSG00000108175	STRONG		2R	2P
ADCY5	ADCY5	TRUE	ENSG00000173175	MODERATE		2R	3P
AGPAT2	AGPAT2	TRUE	ENSG00000169692	MODERATE	2C		3P
AGTR2	AGTR2	TRUE	ENSG00000180772	MODERATE		3R	2P
AP3S2	AP3S2	TRUE	ENSG00000157823	MODERATE		2R	3P
BCL11A	BCL11A	TRUE	ENSG00000119866	MODERATE	2C		3P
CISD2	CISD2	TRUE	ENSG00000145354	MODERATE	2C		3P
FAM63A	MINDY1	FALSE	ENSG00000143409	MODERATE	2C		3P
FOXA2	FOXA2	TRUE	ENSG00000125798	MODERATE		3R	2P
GPSM1	GPSM1	TRUE	ENSG00000160360	MODERATE	2C	3R	3P
IGF2BP2	IGF2BP2	TRUE	ENSG00000073792	MODERATE		2R	3P
JAZF1	JAZF1	TRUE	ENSG00000153814	MODERATE		2R	3P
KCNK17	KCNK17	TRUE	ENSG00000124780	MODERATE		2R	3P
MACF1	MACF1	TRUE	ENSG00000127603	MODERATE	2C	3R	
MADD	MADD	TRUE	ENSG00000110514	MODERATE	2C	3R	3P
NKX6-3	NKX6-3	TRUE	ENSG00000165066	MODERATE		2R	3P
PDE8B	PDE8B	TRUE	ENSG00000113231	MODERATE		2R	3P
PLIN1	PLIN1	TRUE	ENSG00000166819	MODERATE	2C		3P
SGSM2	SGSM2	TRUE	ENSG00000141258	MODERATE	2C	3R	
SPRY2	SPRY2	TRUE	ENSG00000136158	MODERATE		3R	2P
UBE2E2	UBE2E2	TRUE	ENSG00000182247	MODERATE	2C	3R	
VPS13C	VPS13C	TRUE	ENSG00000129003	MODERATE		2R	3P
ABO	ABO	TRUE	ENSG00000175164	WEAK		3R	
CARD9	CARD9	TRUE	ENSG00000187796	WEAK		3R	
CDK2AP1	CDK2AP1	TRUE	ENSG00000111328	WEAK		3R	
CTNNAL1	CTNNAL1	TRUE	ENSG00000119326	WEAK		3R	
DNLZ	DNLZ	TRUE	ENSG00000213221	WEAK		3R	
ITGB6	ITGB6	TRUE	ENSG00000115221	WEAK		3R	
ANK1	ANK1	TRUE	ENSG00000029534	POSSIBLE		3R	3P
ASCC2	ASCC2	TRUE	ENSG00000100325	POSSIBLE	2C		
CALCOCO2	CALCOCO2	TRUE	ENSG00000136436	POSSIBLE	2C		
FADS1	FADS1	TRUE	ENSG00000149485	POSSIBLE		3R	3P
HMG20A	HMG20A	TRUE	ENSG00000140382	POSSIBLE		2R	
IL17REL	IL17REL	TRUE	ENSG00000188263	POSSIBLE	2C		
MRPS30	MRPS30	TRUE	ENSG00000112996	POSSIBLE	2C		
PRC1	PRC1	TRUE	ENSG00000198901	POSSIBLE			2P
PTRF	CAVIN1	FALSE	ENSG00000177469	POSSIBLE	2C		
SCD5	SCD5	TRUE	ENSG00000145284	POSSIBLE	2C		
SNAPC4	SNAPC4	TRUE	ENSG00000165684	POSSIBLE		3R	3P
ST6GAL1	ST6GAL1	TRUE	ENSG00000073849	POSSIBLE		3R	3P
TP53INP1	TP53INP1	TRUE	ENSG00000164938	POSSIBLE		3R	3P
ADRA2A	ADRA2A	TRUE	ENSG00000150594	(T2D_related)		2R	2P
AKT2	AKT2	TRUE	ENSG00000105221	(T2D_related)	1C		2P
APPL1	APPL1	TRUE	ENSG00000157500	(T2D_related)	2C		3P
BLK	BLK	TRUE	ENSG00000136573	(T2D_related)	2C	3R	
BSCL2	BSCL2	TRUE	ENSG00000168000	(T2D_related)	2C		3P
CAV1	CAV1	TRUE	ENSG00000105974	(T2D_related)	2C		2P
CEL	CEL	TRUE	ENSG00000170835	(T2D_related)	2C		
EIF2AK3	EIF2AK3	TRUE	ENSG00000172071	(T2D_related)	2C		3P
ERAP2	ERAP2	TRUE	ENSG00000164308	(T2D_related)		3R	
FOXP3	FOXP3	TRUE	ENSG00000049768	(T2D_related)	2C		3P
G6PC2	G6PC2	TRUE	ENSG00000152254	(T2D_related)	1C	3R	3P
G6PD	G6PD	TRUE	ENSG00000160211	(T2D_related)	1C		3P
GATA4	GATA4	TRUE	ENSG00000136574	(T2D_related)	2C		2P
GATA6	GATA6	TRUE	ENSG00000141448	(T2D_related)	2C		2P
GCG	GCG	TRUE	ENSG00000115263	(T2D_related)			3P
GRB10	GRB10	TRUE	ENSG00000106070	(T2D_related)		3R	3P
IER3IP1	IER3IP1	TRUE	ENSG00000134049	(T2D_related)	2C		
IGF1	IGF1	TRUE	ENSG00000017427	(T2D_related)	2C		2P
KLF11	KLF11	TRUE	ENSG00000172059	(T2D_related)	2C		
NAT2	NAT2	TRUE	ENSG00000156006	(T2D_related)			2P
NEUROD1	NEUROD1	TRUE	ENSG00000162992	(T2D_related)	2C		2P
PAX6	PAX6	TRUE	ENSG00000007372	(T2D_related)	2C		2P
PCBD1	PCBD1	TRUE	ENSG00000166228	(T2D_related)	2C		3P
PCSK1	PCSK1	TRUE	ENSG00000175426	(T2D_related)	1C	3R	3P
POLD1	POLD1	TRUE	ENSG00000062822	(T2D_related)	2C		3P
PPP1R15B	PPP1R15B	TRUE	ENSG00000158615	(T2D_related)	2C		3P
PTF1A	PTF1A	TRUE	ENSG00000168267	(T2D_related)	2C		2P
RFX6	RFX6	TRUE	ENSG00000185002	(T2D_related)	2C		2P
SIX2	SIX2	TRUE	ENSG00000170577	(T2D_related)		2R	
SIX3	SIX3	TRUE	ENSG00000138083	(T2D_related)		2R	3P
SLC19A2	SLC19A2	TRUE	ENSG00000117479	(T2D_related)	2C		3P
TRMT10A	TRMT10A	TRUE	ENSG00000145331	(T2D_related)	2C		3P
WARS	WARS	TRUE	ENSG00000140105	(T2D_related)		2R	3P
ZFP57	ZFP57	TRUE	ENSG00000204644	(T2D_related)	2C		
