Gene Name	Gene Probability	Locus Location
PNPLA5	0.749658763	22 : 44074730 - 44574731
RNF6	0.74890995	13 : 26526999 - 27027000
TMEM150C	0.748610139	4 : 83337562 - 83837563
NOTCH2	0.746099591	1 : 120211253 - 120711254
PKIG	0.744800866	20 : 42746184 - 43292365
OTULINL	0.741025567	5 : 14501305 - 15060835
AC022414.1	0.736183405	5 : 76174949 - 76674950
PAM	0.735617757	5 : 100524699 - 103223338
LLPH	0.733427882	12 : 65971060 - 66596625
ODF3L1	0.733423948	15 : 75678192 - 76178193
IMP3	0.733423948	15 : 75678192 - 76178193
HHEX	0.730947852	10 : 93615244 - 94717288
CD101	0.729630947	1 : 117282790 - 117782791
INSR	0.728208184	19 : 6985146 - 7485147
PIM3	0.726839423	22 : 50106850 - 50606851
IGF2BP2	0.72322464	3 : 185253456 - 185753457
TACR2	0.721887171	10 : 71071279 - 71720826
RSPO3	0.720998168	6 : 126542095 - 127664839
ADA	0.71568507	20 : 42746184 - 43292365
ACVR1C	0.714831293	2 : 158075760 - 158575761
ADAMTS9	0.714400351	3 : 64458114 - 64958115
ESRP1	0.713803828	8 : 95435147 - 96210768
SV2B	0.711360395	15 : 91261260 - 91761261
ATP2A3	0.71026969	17 : 3578086 - 4331976
ZNF557	0.710082531	19 : 6985146 - 7485147
MBD3L5	0.706245184	19 : 6985146 - 7485147
MBD3L4	0.706245184	19 : 6985146 - 7485147
MBD3L3	0.706245184	19 : 6985146 - 7485147
MBD3L2	0.706245184	19 : 6985146 - 7485147
HERC3	0.703967333	4 : 89501858 - 90001859
CYB5D2	0.702679098	17 : 3578086 - 4331976
DENND4C	0.702416658	9 : 18815825 - 19315826
PEAK1	0.701970041	15 : 77334498 - 78088492
LINGO1	0.701970041	15 : 77334498 - 78088492
CA12	0.701483428	15 : 63611730 - 64362635
GPSM1	0.701257288	9 : 138993334 - 139520877
CEBPG	0.700856149	19 : 33676402 - 34176403
CDKN2AIPNL	0.699765325	5 : 133615452 - 134115453
UBE2Q2	0.699352086	15 : 75678192 - 76178193
SNUPN	0.699352086	15 : 75678192 - 76178193
CSPG4	0.699352086	15 : 75678192 - 76178193
CTRB1	0.699003339	16 : 74984872 - 75767116
ZNF148	0.698891759	3 : 124669777 - 125169778
CDKL3	0.697833061	5 : 133615452 - 134115453
BTAF1	0.695153952	10 : 93615244 - 94717288
SLC30A10	0.694335401	1 : 219498818 - 219998819
HK1	0.692789257	10 : 71071279 - 71720826
MLC1	0.691956401	22 : 50106850 - 50606851
DDX47	0.691670656	12 : 12621099 - 13121100
FCHSD2	0.691525698	11 : 72210398 - 72971272
BCL11A	0.691315293	2 : 60335806 - 60835807
YWHAH	0.690315843	22 : 32115433 - 32615434
RFPL2	0.690315843	22 : 32115433 - 32615434
C22orf42	0.690315843	22 : 32115433 - 32615434
VPS13C	0.689756393	15 : 62144264 - 62644265
ITGA2	0.68848455	5 : 51850489 - 52350490
TCEA2	0.686413109	20 : 62443175 - 62943176
EFR3B	0.686171114	2 : 25283568 - 25783569
PARVB	0.685596824	22 : 44074730 - 44574731
DEPDC5	0.685073018	22 : 32115433 - 32615434
NAP1L5	0.684971333	4 : 89501858 - 90001859
RPAP1	0.684680045	15 : 41568917 - 42365748
IL17REL	0.684460938	22 : 50106850 - 50606851
METTL15	0.684346437	11 : 28284898 - 28784899
EIF5A2	0.683288574	3 : 170399749 - 170899750
AP3S2	0.682990074	15 : 90199523 - 90699524
DNLZ	0.681718767	9 : 138993334 - 139520877
CBFA2T2	0.681678891	20 : 31716698 - 32631338
ANKFY1	0.681655288	17 : 3578086 - 4331976
PEBP1	0.681474626	12 : 118204833 - 118704834
CITED2	0.681399405	6 : 139585329 - 140085330
CAMKK2	0.680697978	12 : 121688185 - 122188186
PLEKHA7	0.680644095	11 : 16851554 - 17658405
SNRPD2	0.680025756	19 : 45928661 - 46428662
GCKR	0.679644763	2 : 27480940 - 27980941
VSIG10	0.679478526	12 : 118204833 - 118704834
GPNMB	0.675447166	7 : 23262896 - 23762897
DTNB	0.675139368	2 : 25283568 - 25783569
PXMP2	0.673552811	12 : 132816392 - 133316393
RNF34	0.670907676	12 : 121688185 - 122188186
CARD9	0.669442117	9 : 138993334 - 139520877
ABCB10	0.668130696	1 : 229422955 - 229922956
CCNE2	0.668047905	8 : 95435147 - 96210768
UBE2B	0.663366079	5 : 133615452 - 134115453
PLIN2	0.662535012	9 : 18815825 - 19315826
P2RY2	0.661457181	11 : 72210398 - 72971272
GRM4	0.661414921	6 : 33997047 - 34497048
ZBED3	0.660724759	5 : 76174949 - 76674950
OTULIN	0.6596784	5 : 14501305 - 15060835
SLC5A1	0.659186304	22 : 32115433 - 32615434
FBXW7	0.657929003	4 : 153006845 - 153770476
SAMM50	0.657571375	22 : 44074730 - 44574731
DUSP16	0.656745672	12 : 12621099 - 13121100
TM6SF2	0.653896213	19 : 19157718 - 20036100
PEX7	0.652793407	6 : 137052159 - 137552160
RAB1A	0.652155697	2 : 65029805 - 65905013
SLC7A10	0.650080204	19 : 33676402 - 34176403
CDKN2B	0.649763882	9 : 21884068 - 22386441
IDE	0.648464382	10 : 93615244 - 94717288
ACTR2	0.646712542	2 : 65029805 - 65905013
TSPAN3	0.645495832	15 : 77334498 - 78088492
HMG20A	0.645495832	15 : 77334498 - 78088492
ADIPOQ	0.64465493	3 : 186415645 - 186915646
TMBIM4	0.644450128	12 : 65971060 - 66596625
ACTA1	0.643774927	1 : 229422955 - 229922956
SLC35D3	0.642959833	6 : 137052159 - 137552160
ANGPTL4	0.64102608	19 : 7720635 - 8679324
PPIF	0.640250742	10 : 80703451 - 81203452
SEC24A	0.639150143	5 : 133615452 - 134115453
EXOC6	0.636393189	10 : 93615244 - 94717288
RPS10-NUDT3	0.635482192	6 : 33997047 - 34497048
FAM241B	0.63540715	10 : 71071279 - 71720826
C2CD4B	0.63261348	15 : 62144264 - 62644265
ITPKA	0.632404983	15 : 41568917 - 42365748
PGAM5	0.631995261	12 : 132816392 - 133316393
TRIM45	0.631207287	1 : 117282790 - 117782791
CD2	0.631207287	1 : 117282790 - 117782791
P2RX2	0.629077852	12 : 132816392 - 133316393
LRCOL1	0.629077852	12 : 132816392 - 133316393
SSTR1	0.627758801	14 : 38598419 - 39098420
CLEC14A	0.627758801	14 : 38598419 - 39098420
QKI	0.625117421	6 : 163883001 - 164383002
CREBL2	0.624184132	12 : 12621099 - 13121100
ZCCHC24	0.623890877	10 : 80703451 - 81203452
GXYLT2	0.623669147	3 : 72615183 - 73115184
SULT4A1	0.623265088	22 : 44074730 - 44574731
MPV17	0.621430039	2 : 27480940 - 27980941
SPRY2	0.619495451	13 : 80467156 - 80967157
TAOK3	0.619408548	12 : 118204833 - 118704834
CEBPA	0.619315982	19 : 33676402 - 34176403
SNX17	0.61815542	2 : 27480940 - 27980941
GTF3C2	0.617651522	2 : 27480940 - 27980941
PLEKHF2	0.616897106	8 : 95435147 - 96210768
TSPAN15	0.616576135	10 : 71071279 - 71720826
RFC4	0.615659118	3 : 186415645 - 186915646
SEC22A	0.613218367	3 : 122815778 - 123315779
SYN2	0.61203301	3 : 11826562 - 12579784
KIF11	0.610839784	10 : 93615244 - 94717288
ABCC8	0.60911727	11 : 16851554 - 17658405
LRRC8E	0.608640194	19 : 7720635 - 8679324
PACSIN1	0.607852638	6 : 33997047 - 34497048
RSPH6A	0.607825637	19 : 45928661 - 46428662
PIK3R1	0.606946468	5 : 67464246 - 67964247
KDSR	0.606835604	18 : 60595884 - 61095885
SAR1B	0.606301844	5 : 133615452 - 134115453
P2RX1	0.606136262	17 : 3578086 - 4331976
C4orf50	0.605675817	4 : 6043696 - 6543697
ABHD16B	0.605651021	20 : 62443175 - 62943176
APOLD1	0.604798973	12 : 12621099 - 13121100
IL20RA	0.60357523	6 : 137052159 - 137552160
HNRNPDL	0.602687955	4 : 83337562 - 83837563
SDC2	0.602004945	8 : 97487741 - 97987742
SNAI1	0.600881398	20 : 48580772 - 49080773
TXLNB	0.600497663	6 : 139585329 - 140085330
INHBB	0.600433469	2 : 121097612 - 121597613
THAP9	0.599440753	4 : 83337562 - 83837563
QSOX2	0.598802865	9 : 138993334 - 139520877
BMP8A	0.598222911	1 : 39529802 - 40285929
SLC1A1	0.598144293	9 : 4041928 - 4541929
PPP2R2C	0.597652972	4 : 6043696 - 6543697
UBE2V1	0.597325444	20 : 48580772 - 49080773
FLI1	0.596428335	11 : 127792575 - 128639392
SSPN	0.596225679	12 : 26207190 - 26707191
SEC31A	0.595358551	4 : 83337562 - 83837563
ALG12	0.594797552	22 : 50106850 - 50606851
STARD10	0.593906641	11 : 72210398 - 72971272
LPL	0.593552232	8 : 19593171 - 20093172
RPGRIP1L	0.593352795	16 : 53580452 - 54080453
AGGF1	0.591951787	5 : 76174949 - 76674950
SHISA2	0.590753198	13 : 26526999 - 27027000
GPRC5A	0.590334952	12 : 12621099 - 13121100
INTS8	0.590128183	8 : 95435147 - 96210768
DMPK	0.589863896	19 : 45928661 - 46428662
ZNF710	0.589788437	15 : 90199523 - 90699524
TTF2	0.589346945	1 : 117282790 - 117782791
GDAP1L1	0.589013338	20 : 42746184 - 43292365
IL22RA2	0.587867677	6 : 137052159 - 137552160
IFNGR1	0.587867677	6 : 137052159 - 137552160
SLC22A3	0.586765766	6 : 160520312 - 161020313
SLC22A2	0.586765766	6 : 160520312 - 161020313
SPPL3	0.58453685	12 : 121166864 - 121679195
TIMP4	0.58370769	3 : 11826562 - 12579784
DMWD	0.580987453	19 : 45928661 - 46428662
PDE8B	0.579931319	5 : 76174949 - 76674950
RIOK1	0.579821467	6 : 6824687 - 7481844
TRA2A	0.579350054	7 : 23262896 - 23762897
LRP3	0.579030871	19 : 33676402 - 34176403
ERMN	0.578618884	2 : 158075760 - 158575761
WSB2	0.577944219	12 : 118204833 - 118704834
EIF2B4	0.577936232	2 : 27480940 - 27980941
POLE	0.576139569	12 : 132816392 - 133316393
PDGFC	0.574014783	4 : 157430199 - 157930200
CENPW	0.573415458	6 : 126542095 - 127664839
EIF2A	0.569899857	3 : 149816540 - 150316541
UBE3C	0.569634318	7 : 156680550 - 157180551
BHLHE41	0.56810838	12 : 26207190 - 26707191
CDKN1C	0.567828357	11 : 1823182 - 3107195
ZZEF1	0.567611456	17 : 3578086 - 4331976
AEBP1	0.567145705	7 : 44005643 - 44505644
ENOPH1	0.566733956	4 : 83337562 - 83837563
THOC7	0.565417469	3 : 63732670 - 64232671
E2F1	0.564443409	20 : 31716698 - 32631338
WFS1	0.564000189	4 : 6043696 - 6543697
CAMLG	0.562305987	5 : 133615452 - 134115453
ZNF513	0.561598301	2 : 27480940 - 27980941
MYC	0.560953915	8 : 128461742 - 128961743
CMKLR1	0.560259104	12 : 108379780 - 108879781
PHGDH	0.559702635	1 : 120211253 - 120711254
GAN	0.559467316	16 : 81284790 - 81784791
VTCN1	0.558925986	1 : 117282790 - 117782791
LPA	0.558763623	6 : 160520312 - 161020313
TAMM41	0.558574438	3 : 11826562 - 12579784
NRBP1	0.558424056	2 : 27480940 - 27980941
C3orf49	0.558081627	3 : 63732670 - 64232671
TRA2B	0.55805397	3 : 185253456 - 185753457
MACF1	0.557667613	1 : 39529802 - 40285929
CRELD2	0.556951582	22 : 50106850 - 50606851
SEC16A	0.553490996	9 : 138993334 - 139520877
ACADS	0.553201497	12 : 121166864 - 121679195
SENP2	0.553024173	3 : 185253456 - 185753457
HELT	0.551986814	4 : 185472447 - 185972448
SEC61A2	0.55099678	10 : 12057894 - 12557895
DHTKD1	0.55099678	10 : 12057894 - 12557895
EIF4A2	0.550316751	3 : 186415645 - 186915646
MESP1	0.549540937	15 : 90199523 - 90699524
SNRNP35	0.548487663	12 : 123200765 - 123958491
TYRO3	0.54848367	15 : 41568917 - 42365748
GPRC5D	0.547500372	12 : 12621099 - 13121100
TMEM189-UBE2V1	0.547156692	20 : 48580772 - 49080773
IDH2	0.547099113	15 : 90199523 - 90699524
PSMD6	0.546896279	3 : 63732670 - 64232671
PITPNM2	0.546749771	12 : 123200765 - 123958491
MPHOSPH9	0.546749771	12 : 123200765 - 123958491
CPEB3	0.54673785	10 : 93615244 - 94717288
DBR1	0.546617985	3 : 137845525 - 138345526
ACSL1	0.545061469	4 : 185472447 - 185972448
CCSAP	0.54463309	1 : 229422955 - 229922956
CEP70	0.542371809	3 : 137845525 - 138345526
ARMC8	0.542371809	3 : 137845525 - 138345526
RAD54B	0.541436553	8 : 95435147 - 96210768
LRTM1	0.54115212	3 : 54578827 - 55078828
MKRN2OS	0.539233088	3 : 11826562 - 12579784
CABP7	0.538463056	22 : 29987859 - 30797397
OASL	0.537230253	12 : 121166864 - 121679195
CDK2AP1	0.53595525	12 : 123200765 - 123958491
NT5C1A	0.534145296	1 : 39529802 - 40285929
HEYL	0.534145296	1 : 39529802 - 40285929
NF2	0.533429682	22 : 29987859 - 30797397
MTMR3	0.533429682	22 : 29987859 - 30797397
HORMAD2	0.533429682	22 : 29987859 - 30797397
TIGD4	0.533326507	4 : 153006845 - 153770476
SLC38A11	0.531440854	2 : 165258389 - 166012010
ZBED4	0.52983439	22 : 50106850 - 50606851
GPR176	0.529518247	15 : 40148754 - 40648755
NECAB3	0.528038144	20 : 31716698 - 32631338
PDIA5	0.527546525	3 : 122815778 - 123315779
HACD2	0.527546525	3 : 122815778 - 123315779
NDUFAF1	0.527364075	15 : 41568917 - 42365748
P2RY1	0.526093245	3 : 152237110 - 152737111
BRD1	0.525413871	22 : 50106850 - 50606851
SLC18A1	0.52471596	8 : 19593171 - 20093172
TMEM120B	0.524330676	12 : 121688185 - 122188186
NUCB2	0.524301112	11 : 16851554 - 17658405
ARFIP1	0.522561371	4 : 153006845 - 153770476
SUGP1	0.522298932	19 : 19157718 - 20036100
REG4	0.521605074	1 : 120211253 - 120711254
MGA	0.521462023	15 : 41568917 - 42365748
ZNF341	0.521134257	20 : 31716698 - 32631338
TPD52L2	0.520203471	20 : 62443175 - 62943176
OTOG	0.519872963	11 : 16851554 - 17658405
RNF146	0.519834757	6 : 126542095 - 127664839
ECHDC1	0.519834757	6 : 126542095 - 127664839
SLC22A1	0.518598437	6 : 160520312 - 161020313
HPCAL4	0.517884195	1 : 39529802 - 40285929
SNTA1	0.517620802	20 : 31716698 - 32631338
ADAM30	0.516970098	1 : 120211253 - 120711254
FNDC4	0.516851187	2 : 27480940 - 27980941
EIF2AK4	0.516625226	15 : 40148754 - 40648755
COPG2	0.516245246	7 : 130218015 - 130718016
PDE2A	0.513918042	11 : 72210398 - 72971272
FAF1	0.513848662	1 : 50723264 - 51758527
A4GNT	0.513563991	3 : 137845525 - 138345526
KNG1	0.51344955	3 : 186415645 - 186915646
PPM1G	0.510816276	2 : 27480940 - 27980941
C2orf16	0.510464132	2 : 27480940 - 27980941
PLA2G4B	0.510332704	15 : 41568917 - 42365748
DNAJB6	0.51021719	7 : 156680550 - 157180551
PRIMPOL	0.510211587	4 : 185472447 - 185972448
CENPU	0.510211587	4 : 185472447 - 185972448
CASP3	0.510211587	4 : 185472447 - 185972448
GPR19	0.509297848	12 : 12621099 - 13121100
GALNT5	0.508114517	2 : 158075760 - 158575761
PIK3C2A	0.508063376	11 : 16851554 - 17658405
TMEM189	0.507629395	20 : 48580772 - 49080773
CDKN2C	0.504026353	1 : 50723264 - 51758527
SIX5	0.503817558	19 : 45928661 - 46428662
MORN3	0.503264666	12 : 121688185 - 122188186
RGS19	0.502498567	20 : 62443175 - 62943176
MYT1	0.502342343	20 : 62443175 - 62943176
SBNO1	0.501579344	12 : 123200765 - 123958491
TBC1D3K	0.50031054	17 : 35849952 - 36349953
RPL39L	0.498978376	3 : 186415645 - 186915646
DEUP1	0.498935103	11 : 92458710 - 93310240
PMPCA	0.498893857	9 : 138993334 - 139520877
INPP5E	0.498893857	9 : 138993334 - 139520877
TTLL8	0.496412337	22 : 50106850 - 50606851
SNAPC4	0.494202077	9 : 138993334 - 139520877
IFT172	0.493914425	2 : 27480940 - 27980941
SYNRG	0.49338299	17 : 35849952 - 36349953
SPATA31D4	0.492532462	9 : 84058948 - 84558949
EML2	0.48901841	19 : 45928661 - 46428662
UQCR10	0.488505363	22 : 29987859 - 30797397
OSM	0.488505363	22 : 29987859 - 30797397
LIF	0.488505363	22 : 29987859 - 30797397
CASTOR1	0.488505363	22 : 29987859 - 30797397
VPS4B	0.487751216	18 : 60595884 - 61095885
EHD4	0.487665087	15 : 41568917 - 42365748
OGFOD2	0.48598519	12 : 123200765 - 123958491
ARL6IP4	0.48598519	12 : 123200765 - 123958491
NUP133	0.483667433	1 : 229422955 - 229922956
PLCB2	0.483307302	15 : 40148754 - 40648755
NCR3LG1	0.482682467	11 : 16851554 - 17658405
MARCH5	0.482532322	10 : 93615244 - 94717288
ATG16L2	0.482529879	11 : 72210398 - 72971272
ANKRD63	0.481346577	15 : 40148754 - 40648755
RTF1	0.480340332	15 : 41568917 - 42365748
SLC1A4	0.479804546	2 : 65029805 - 65905013
FBXO46	0.479717553	19 : 45928661 - 46428662
BCO1	0.479680926	16 : 81284790 - 81784791
SOX18	0.47959739	20 : 62443175 - 62943176
C20orf204	0.47959739	20 : 62443175 - 62943176
MMP14	0.479528397	14 : 23038935 - 23538936
SLC2A2	0.47837916	3 : 170399749 - 170899750
INAFM2	0.478185385	15 : 40148754 - 40648755
ANAPC5	0.475111037	12 : 121688185 - 122188186
HMGCS2	0.475035071	1 : 120211253 - 120711254
MRPL52	0.473884791	14 : 23038935 - 23538936
KLF14	0.473264307	7 : 130218015 - 130718016
MYPOP	0.472499341	19 : 45928661 - 46428662
LKAAEAR1	0.472489625	20 : 62443175 - 62943176
NME9	0.471635431	3 : 137845525 - 138345526
MRAS	0.471635431	3 : 137845525 - 138345526
FAIM	0.471635431	3 : 137845525 - 138345526
ESYT3	0.471635431	3 : 137845525 - 138345526
DMRTA2	0.470872998	1 : 50723264 - 51758527
JMJD7-PLA2G4B	0.469637305	15 : 41568917 - 42365748
S100Z	0.468982756	5 : 76174949 - 76674950
OXCT2	0.468490958	1 : 39529802 - 40285929
SPHAR	0.467916399	1 : 229422955 - 229922956
PHGR1	0.467005342	15 : 40148754 - 40648755
CCDC9B	0.467005342	15 : 40148754 - 40648755
PPIE	0.466205657	1 : 39529802 - 40285929
CAMKK1	0.465864003	17 : 3578086 - 4331976
PPM1N	0.46571961	19 : 45928661 - 46428662
ACTL10	0.465463638	20 : 31716698 - 32631338
ZMAT5	0.464493722	22 : 29987859 - 30797397
TBC1D10A	0.464493722	22 : 29987859 - 30797397
SF3A1	0.464493722	22 : 29987859 - 30797397
RNF215	0.464493722	22 : 29987859 - 30797397
CCDC157	0.464493722	22 : 29987859 - 30797397
ASCC2	0.464493722	22 : 29987859 - 30797397
RBM23	0.464344174	14 : 23038935 - 23538936
FCER2	0.463801295	19 : 7720635 - 8679324
FAM98B	0.463525653	15 : 38602386 - 39102387
PCMTD2	0.46333164	20 : 62443175 - 62943176
RILPL2	0.461985618	12 : 123200765 - 123958491
KMT5A	0.461985618	12 : 123200765 - 123958491
C12orf65	0.461985618	12 : 123200765 - 123958491
ABCB9	0.461985618	12 : 123200765 - 123958491
BUB1B-PAK6	0.46177727	15 : 40148754 - 40648755
GIN1	0.46092996	5 : 100524699 - 103223338
OPRL1	0.460526407	20 : 62443175 - 62943176
JMJD7	0.460381508	15 : 41568917 - 42365748
UCN	0.458383262	2 : 27480940 - 27980941
PAK6	0.457372218	15 : 40148754 - 40648755
PRAM1	0.456968248	19 : 7720635 - 8679324
CRHBP	0.456874847	5 : 76174949 - 76674950
ABHD4	0.45634222	14 : 23038935 - 23538936
BPIFA3	0.455925196	20 : 31716698 - 32631338
SERP1	0.451669723	3 : 149816540 - 150316541
NUDCD3	0.450752556	7 : 44005643 - 44505644
PRR36	0.450642586	19 : 7720635 - 8679324
URB2	0.450465828	1 : 229422955 - 229922956
TAF5L	0.450465828	1 : 229422955 - 229922956
P2RX4	0.450417787	12 : 121166864 - 121679195
SPTBN5	0.449598163	15 : 41568917 - 42365748
ENTR1	0.449035585	9 : 138993334 - 139520877
MAPKBP1	0.448182046	15 : 41568917 - 42365748
VIRMA	0.446838528	8 : 95435147 - 96210768
HAPLN4	0.444555432	19 : 19157718 - 20036100
ATP13A1	0.443953753	19 : 19157718 - 20036100
OR6J1	0.443551213	14 : 23038935 - 23538936
TSGA13	0.441569507	7 : 130218015 - 130718016
NOTCH1	0.440744579	9 : 138993334 - 139520877
TGFBR3L	0.439995527	19 : 7720635 - 8679324
LHX3	0.439880252	9 : 138993334 - 139520877
UBE2G1	0.439832062	17 : 3578086 - 4331976
TSC22D2	0.4390122	3 : 149816540 - 150316541
TBC1D3L	0.437710911	17 : 35849952 - 36349953
GPR4	0.437548131	19 : 45928661 - 46428662
CCDC126	0.43707484	7 : 23262896 - 23762897
ARMS2	0.436804801	10 : 123915615 - 124415616
OIP5	0.436572403	15 : 41568917 - 42365748
NUSAP1	0.436572403	15 : 41568917 - 42365748
NOM1	0.435872644	7 : 156680550 - 157180551
GATAD2A	0.434801966	19 : 19157718 - 20036100
DMBT1	0.434547693	10 : 123915615 - 124415616
OPA3	0.434365183	19 : 45928661 - 46428662
E2F3	0.432860136	6 : 20423880 - 21280756
C20orf144	0.432104647	20 : 31716698 - 32631338
RNF11	0.429353446	1 : 50723264 - 51758527
C1orf185	0.429353446	1 : 50723264 - 51758527
BHMG1	0.428767711	19 : 45928661 - 46428662
SLC2A10	0.428747773	20 : 45348564 - 45848565
LRPPRC	0.42828995	2 : 43179806 - 44270442
USH1C	0.427310616	11 : 16851554 - 17658405
BMP8B	0.427011997	1 : 39529802 - 40285929
RAB4A	0.426447451	1 : 229422955 - 229922956
TMEM154	0.424559981	4 : 153006845 - 153770476
PRMT5	0.420710146	14 : 23038935 - 23538936
NUDT5	0.420208931	10 : 12057894 - 12557895
CDC123	0.420208931	10 : 12057894 - 12557895
NPBWR2	0.416877031	20 : 62443175 - 62943176
BPIFA2	0.416545898	20 : 31716698 - 32631338
ERCC1	0.416479796	19 : 45928661 - 46428662
PXMP4	0.416213572	20 : 31716698 - 32631338
SMCO4	0.414799899	11 : 92458710 - 93310240
HAUS4	0.413451791	14 : 23038935 - 23538936
AJUBA	0.413451791	14 : 23038935 - 23538936
SUPT7L	0.413136035	2 : 27480940 - 27980941
BUB1B	0.412274212	15 : 40148754 - 40648755
OSER1	0.412235171	20 : 42746184 - 43292365
FBN3	0.411762148	19 : 7720635 - 8679324
OXA1L	0.411759079	14 : 23038935 - 23538936
LRP10	0.411059976	14 : 23038935 - 23538936
IRF2BP1	0.410558045	19 : 45928661 - 46428662
FOXA3	0.410558045	19 : 45928661 - 46428662
RTN2	0.407164812	19 : 45928661 - 46428662
BPIFA1	0.406874418	20 : 31716698 - 32631338
