Gene	Region	Top score	Curated Approach	EIP	ICP	View
TCF7L2	10:114710009-114927437	4	4	0	0	Evidence
TCF4	18:52889562-53332018	4	0	4	0	Evidence
STARD10	11:72465774-72504726	4	4	0	0	Evidence
ST6GAL1	3:186648274-186796341	4	2	4	0	Evidence
SSR1	6:7268539-7347679	4	0	4	0	Evidence
SLC2A2	3:170714137-170744539	4	4	0	0	Evidence
SCD5	4:83550692-83720010	4	2	4	1	Evidence
RBMS1	2:161128662-161350305	4	0	0	4	Evidence
RASGRP1	15:38780304-38857776	4	0	4	0	Evidence
PEPD	19:33877856-34012700	4	0	4	0	Evidence
PABPC4	1:40026488-40042462	4	0	4	0	Evidence
LMNA	1:156052364-156109880	4	4	0	0	Evidence
KLHL42	12:27932953-27955973	4	4	0	0	Evidence
KLF14	7:130416063-130418936	4	4	0	0	Evidence
KCNQ1	11:2465914-2870340	4	0	4	0	Evidence
IRX5	16:54964774-54968397	4	4	0	0	Evidence
IRX3	16:54317216-54320675	4	4	0	0	Evidence
IRS1	2:227596033-227664475	4	4	0	0	Evidence
INSR	19:7112266-7294045	4	4	0	0	Evidence
IGF2BP3	7:23349828-23510086	4	0	4	1	Evidence
HMGA2	12:66217911-66360075	4	0	4	2	Evidence
HAUS6	9:19053141-19103117	4	0	4	0	Evidence
GLP2R	17:9725523-9795419	4	0	0	4	Evidence
FAM13A	4:89647106-90032549	4	0	4	2	Evidence
EYA2	20:45523263-45817492	4	0	4	0	Evidence
DGKB	7:14184674-15014402	4	4	0	0	Evidence
COBLL1	2:165510134-165700189	4	0	4	0	Evidence
CMIP	16:81478775-81745367	4	0	4	3	Evidence
CCND2	12:4382938-4414516	4	4	0	0	Evidence
CAMK1D	10:12391481-12877545	4	4	0	0	Evidence
C2CD4B	15:62455734-62457482	4	4	0	0	Evidence
BMF	15:40380091-40401093	4	0	4	0	Evidence
BCAR1	16:75262085-75301951	4	4	0	0	Evidence
ATP2A3	17:3827164-3867758	4	0	0	4	Evidence
ARAP1	11:72396114-72504644	4	0	4	0	Evidence
ABCB9	12:123405498-123466196	4	4	0	0	Evidence
VPS13C	15:62144588-62352672	3	3	0	0	Evidence
VEGFA	6:43737921-43754224	3	0	0	3	Evidence
UBE2E2	3:23244511-23633284	3	3	2	0	Evidence
TMBIM1	2:219138915-219157309	3	0	0	3	Evidence
SPRY2	13:80910111-80915086	3	3	0	0	Evidence
SPRED2	2:65537985-65659771	3	0	3	3	Evidence
SGSM2	17:2240792-2284352	3	3	0	0	Evidence
RFC5	12:118451393-118470935	3	0	3	0	Evidence
RCCD1	15:91498100-91506355	3	0	0	3	Evidence
RBM23	14:23362415-23388393	3	0	0	3	Evidence
PROX1	1:214156524-214214845	3	0	3	1	Evidence
PPIP5K2	5:102455853-102548500	3	0	3	0	Evidence
PLIN4	19:4502192-4518477	3	0	0	3	Evidence
PLIN2	9:19108373-19149288	3	0	0	3	Evidence
PLIN1	15:90207596-90222658	3	3	0	0	Evidence
PELO	5:52083774-52099880	3	0	3	0	Evidence
PDE8B	5:76506274-76725632	3	3	0	1	Evidence
NKX6-3	8:41502697-41508188	3	3	0	0	Evidence
NDUFAF6	8:95907995-96128683	3	0	3	2	Evidence
MADD	11:47290712-47351582	3	3	0	0	Evidence
MACF1	1:39546988-39952849	3	3	0	0	Evidence
KDM2B	12:121866900-122018920	3	0	3	0	Evidence
KCNK17	6:39266777-39282329	3	3	0	0	Evidence
ITGA1	5:52083730-52255040	3	0	3	0	Evidence
IGF2BP2	3:185361527-185542844	3	3	0	1	Evidence
GPSM1	9:139221932-139254057	3	3	0	0	Evidence
FOXA2	20:22561643-22566093	3	3	0	0	Evidence
FOCAD	9:20658308-20995954	3	0	0	3	Evidence
FAM63A	Unknown	3	3	0	0	Evidence
FAM221A	7:23719749-23742868	3	0	0	3	Evidence
ETS1	11:128328656-128457453	3	0	3	0	Evidence
DNAJB11	3:186285192-186303589	3	0	0	3	Evidence
DGKG	3:185823457-186080026	3	0	0	3	Evidence
CYP2R1	11:14898986-14913798	3	0	0	3	Evidence
CISD2	4:103790131-103813964	3	3	0	0	Evidence
CEP68	2:65283500-65314138	3	0	3	1	Evidence
CDKAL1	6:20534688-21232635	3	0	3	0	Evidence
C12orf43	Unknown	3	0	3	0	Evidence
BCL11A	2:60677655-60782289	3	3	0	0	Evidence
ARL15	5:53179775-53606412	3	0	3	0	Evidence
AP3S2	15:90373831-90437870	3	3	0	0	Evidence
AGTR2	X:115301975-115306225	3	3	0	0	Evidence
AGPAT2	9:139567595-139581875	3	3	0	0	Evidence
ADCY5	3:123001143-123168605	3	3	3	0	Evidence
ZNF732	4:264464-299110	2	0	0	2	Evidence
ZNF101	19:19779605-19794318	2	0	2	0	Evidence
TRHR	8:110098850-110131813	2	0	0	2	Evidence
SNAPC4	9:139270029-139294620	2	2	0	0	Evidence
SLC7A7	14:23242431-23299029	2	0	2	1	Evidence
SLC26A5	7:102993177-103086624	2	0	0	2	Evidence
SLC13A3	20:45186462-45313106	2	0	0	2	Evidence
SHQ1	3:72798428-72911065	2	0	2	0	Evidence
SAXO1	9:18858904-19049356	2	0	2	0	Evidence
RRAGA	9:19049393-19050981	2	0	2	0	Evidence
QPCTL	19:46195741-46207247	2	0	2	0	Evidence
PTRF	Unknown	2	2	0	0	Evidence
PTGFRN	1:117452679-117532980	2	0	2	2	Evidence
PRC1	15:91509268-91538859	2	2	0	0	Evidence
POMC	2:25383722-25391772	2	0	2	0	Evidence
PDE3B	11:14665269-14893590	2	0	0	2	Evidence
NUDT3	6:34247456-34360451	2	0	0	2	Evidence
MRPS30	5:44809027-44820530	2	2	0	0	Evidence
MCCC1	3:182733006-182833863	2	0	0	2	Evidence
MAP2K7	19:7968728-7979363	2	0	2	0	Evidence
LTK	15:41795836-41806085	2	0	2	0	Evidence
KSR2	12:117890817-118406788	2	0	0	2	Evidence
KIF9	3:47269516-47324941	2	0	0	2	Evidence
IL17REL	22:50432942-50451088	2	2	0	0	Evidence
HMG20A	15:77712754-77777949	2	2	0	0	Evidence
HEG1	3:124684554-124774802	2	0	2	0	Evidence
GRB14	2:165349322-165478358	2	0	2	0	Evidence
FTO	16:53735604-54192424	2	0	2	0	Evidence
FGFBP3	10:93666346-93669240	2	0	2	0	Evidence
FADS1	11:61567097-61596790	2	2	0	0	Evidence
DPY19L4	8:95731931-95806064	2	0	2	0	Evidence
DCUN1D4	4:52709166-52783003	2	0	0	2	Evidence
CRY2	11:45868669-45904799	2	0	0	2	Evidence
CPQ	8:97657455-98161882	2	0	2	0	Evidence
CALCOCO2	17:46908350-46943884	2	2	0	0	Evidence
CAGE1	6:7326889-7389976	2	0	2	0	Evidence
CACNA2D3	3:54156574-55108584	2	0	2	0	Evidence
CA12	15:63613577-63674360	2	0	0	2	Evidence
C5orf67	Unknown	2	0	2	0	Evidence
C1orf56	Unknown	2	0	0	2	Evidence
ASCC2	22:30184597-30234293	2	2	0	1	Evidence
ANK1	8:41510739-41754280	2	2	0	0	Evidence
ZZEF1	17:3907739-4046314	1	0	0	1	Evidence
ZMYND8	20:45837859-45985633	1	0	0	1	Evidence
ZFP36L2	2:43449541-43453748	1	0	1	0	Evidence
ZC3H4	19:47567444-47617009	1	0	0	1	Evidence
ZBTB46	20:62375019-62462597	1	0	0	1	Evidence
WDR72	15:53805938-54055075	1	0	0	1	Evidence
USP3	15:63796710-63886839	1	0	1	0	Evidence
TMEM150C	4:83404323-83483510	1	0	1	0	Evidence
THADA	2:43457975-43823185	1	0	1	0	Evidence
TFAP2B	6:50786436-50815326	1	0	0	1	Evidence
STX16	20:57226309-57254582	1	0	0	1	Evidence
SNX33	15:75940247-75954642	1	0	1	0	Evidence
SIN3A	15:75661720-75748183	1	0	1	0	Evidence
SHBG	17:7517264-7536701	1	0	0	1	Evidence
SGCB	4:52886872-52904648	1	0	0	1	Evidence
SCN4A	17:62015914-62050278	1	0	0	1	Evidence
SCN3A	2:165944032-166060577	1	0	1	0	Evidence
RSPO3	6:127439749-127518910	1	0	0	1	Evidence
RNF6	13:26706253-26796630	1	0	1	0	Evidence
RBP4	10:95351444-95361501	1	0	0	1	Evidence
RAB1A	2:65297830-65357465	1	0	0	1	Evidence
PTPN9	15:75755592-75871630	1	0	1	0	Evidence
PRICKLE2	3:64077918-64431152	1	0	0	1	Evidence
PPP4R3A	14:91923955-91976898	1	0	0	1	Evidence
PNPLA5	22:44275558-44287893	1	0	1	0	Evidence
PLEKHA1	10:124134212-124202118	1	0	0	1	Evidence
PIM3	22:50354161-50357728	1	0	0	1	Evidence
PDHX	11:34937376-35042138	1	0	0	1	Evidence
NRXN3	14:78636716-80334633	1	0	0	1	Evidence
NR1D2	3:23986751-24022109	1	0	0	1	Evidence
NOTCH2	1:120454176-120612240	1	0	1	0	Evidence
NDUFS4	5:52856463-52979170	1	0	0	1	Evidence
MYC	8:128747680-128753680	1	0	0	1	Evidence
MOV10L1	22:50528308-50600119	1	0	1	0	Evidence
MALSU1	7:23338358-23351348	1	0	1	0	Evidence
LPP	3:187871072-188608460	1	0	0	1	Evidence
LHFPL3	7:103969104-104547679	1	0	0	1	Evidence
LCORL	4:17842822-18023499	1	0	0	1	Evidence
KDSR	18:60994959-61034743	1	0	0	1	Evidence
KCNJ1	11:128706210-128737268	1	0	0	1	Evidence
ITPKA	15:41785591-41795749	1	0	0	1	Evidence
ITGB6	2:160956177-161056824	1	1	0	0	Evidence
IDO1	8:39759794-39785963	1	0	0	1	Evidence
HORMAD2	22:30476163-30573064	1	0	0	1	Evidence
HHEX	10:94449708-94455403	1	0	0	1	Evidence
HERC1	15:63900817-64126141	1	0	1	0	Evidence
HCN1	5:45255052-45696600	1	0	0	1	Evidence
GNG4	1:235710987-235814054	1	0	0	1	Evidence
GNAS	20:57414773-57486247	1	0	0	1	Evidence
FBXW7	4:153241696-153457215	1	0	0	1	Evidence
FBXL22	15:63889552-63894627	1	0	1	0	Evidence
DNLZ	9:139253932-139258241	1	1	0	0	Evidence
DNAH2	17:7620672-7737062	1	0	0	1	Evidence
DAPK2	15:64199235-64364232	1	0	1	0	Evidence
CYTIP	2:158271131-158345473	1	0	1	0	Evidence
CYHR1	8:145674965-145691060	1	0	0	1	Evidence
CYB5D2	17:4046462-4090605	1	0	0	1	Evidence
CTNS	17:3539762-3564836	1	0	0	1	Evidence
CTNNAL1	9:111704849-111775809	1	1	0	0	Evidence
CRHR2	7:30691559-30739745	1	0	0	1	Evidence
CEBPB	20:48807271-48809226	1	0	1	0	Evidence
CDKN2C	1:51426417-51440305	1	0	0	1	Evidence
CDK8	13:26828241-26979375	1	0	1	0	Evidence
CDK2AP1	12:123745518-123756881	1	1	0	0	Evidence
CARD9	9:139256355-139268133	1	1	0	0	Evidence
C9orf3	Unknown	1	0	0	1	Evidence
C6orf106	Unknown	1	0	0	1	Evidence
C2CD4A	15:62359176-62363116	1	0	1	0	Evidence
C17orf58	Unknown	1	0	0	1	Evidence
ATE1	10:123499936-123688316	1	0	0	1	Evidence
AQP7	9:33383177-33402680	1	0	0	1	Evidence
APIP	11:34874641-34938046	1	0	0	1	Evidence
AGBL2	11:47681143-47736941	1	0	0	1	Evidence
ADD1	4:2845584-2931803	1	0	0	1	Evidence
ADAMTS9	3:64501330-64673676	1	0	0	1	Evidence
ACVR1C	2:158383279-158485517	1	0	0	1	Evidence
ACSL1	4:185676749-185747972	1	0	0	1	Evidence
ABO	9:136125788-136150635	1	1	0	0	Evidence
ABCG8	2:44059081-44110126	1	0	0	1	Evidence
